Time,Zone,Entry,Exit,Total
2026-03-12 20:51:03.512726,All,7,5,1
2026-03-12 20:51:03.633507,All,7,5,2
2026-03-12 20:51:03.745434,All,7,5,1
2026-03-12 20:51:03.855901,All,7,5,2
2026-03-12 20:51:03.971107,All,7,5,2
2026-03-12 20:51:04.081986,All,7,5,4
2026-03-12 20:51:04.214572,All,7,5,3
2026-03-12 20:51:04.324999,All,7,5,1
2026-03-12 20:51:04.445918,All,7,5,2
2026-03-12 20:51:04.567485,All,7,5,1
2026-03-12 20:51:04.688275,All,8,5,2
2026-03-12 20:51:04.799307,All,8,5,2
2026-03-12 20:51:04.910534,All,8,5,2
2026-03-12 20:51:05.033758,All,8,5,2
2026-03-12 20:51:05.148193,All,8,5,3
2026-03-12 20:51:05.273897,All,8,5,3
2026-03-12 20:51:05.387186,All,8,5,2
2026-03-12 20:51:05.505740,All,8,5,4
2026-03-12 20:51:05.618572,All,9,5,3
2026-03-12 20:51:05.726350,All,9,5,3
2026-03-12 20:51:05.842629,All,9,5,3
2026-03-12 20:51:05.954237,All,9,5,2
2026-03-12 20:51:06.088020,All,9,5,2
2026-03-12 20:51:06.206110,All,9,5,2
2026-03-12 20:51:06.327113,All,9,5,1
2026-03-12 20:51:06.436243,All,9,5,1
2026-03-12 20:51:06.548780,All,9,5,1
2026-03-12 20:51:06.667948,All,9,5,1
2026-03-12 20:51:06.778351,All,9,5,1
2026-03-12 20:51:06.905304,All,9,5,1
2026-03-12 20:51:07.016727,All,9,5,1
2026-03-12 20:51:07.153665,All,9,5,1
2026-03-12 20:51:07.277192,All,9,5,1
2026-03-12 20:51:07.400173,All,9,5,1
2026-03-12 20:51:07.512467,All,9,5,1
2026-03-12 20:51:07.629412,All,9,5,1
2026-03-12 20:51:07.762985,All,9,6,1
2026-03-12 20:51:07.926746,All,9,6,1
2026-03-12 20:51:08.095628,All,9,6,1
2026-03-12 20:51:08.266975,All,9,6,1
2026-03-12 20:51:08.385789,All,9,6,1
2026-03-12 20:51:08.513459,All,9,6,1
2026-03-12 20:51:08.623997,All,9,6,1
2026-03-12 20:51:08.751072,All,9,6,1
2026-03-12 20:51:08.861634,All,9,6,1
2026-03-12 20:51:08.985494,All,9,6,0
2026-03-12 20:51:09.096248,All,9,6,0
2026-03-12 20:51:09.218213,All,9,6,1
2026-03-12 20:51:09.341361,All,9,6,2
2026-03-12 20:51:09.452417,All,9,6,1
2026-03-12 20:51:09.582267,All,9,6,1
2026-03-12 20:51:09.696981,All,9,6,0
2026-03-12 20:51:09.831316,All,9,6,0
2026-03-12 20:51:09.979683,All,9,6,0
2026-03-12 20:51:10.112532,All,9,6,0
2026-03-12 20:51:10.224286,All,9,6,0
2026-03-12 20:51:10.357641,All,9,6,0
2026-03-12 20:51:10.465266,All,9,6,0
2026-03-12 20:51:10.589142,All,9,6,0
2026-03-12 20:51:10.700182,All,9,6,0
2026-03-12 20:51:10.820286,All,9,6,1
2026-03-12 20:51:10.984141,All,9,6,0
2026-03-12 20:51:11.149594,All,9,6,1
2026-03-12 20:51:11.300103,All,9,6,2
2026-03-12 20:51:11.436699,All,9,6,3
2026-03-12 20:51:11.556265,All,9,6,2
2026-03-12 20:51:11.680123,All,9,6,1
2026-03-12 20:51:11.787435,All,9,6,0
2026-03-12 20:51:11.899820,All,9,6,0
2026-03-12 20:51:12.030442,All,9,6,0
2026-03-12 20:51:12.149958,All,9,6,1
2026-03-12 20:51:12.277590,All,9,6,1
2026-03-12 20:51:12.386676,All,9,6,0
2026-03-12 20:51:12.503984,All,9,6,0
2026-03-12 20:51:12.616076,All,9,6,0
2026-03-12 20:51:12.758610,All,9,6,0
2026-03-12 20:51:12.886018,All,9,6,0
2026-03-12 20:51:13.022632,All,9,6,0
2026-03-12 20:51:13.138504,All,9,6,0
2026-03-12 20:51:13.269652,All,9,6,1
2026-03-12 20:51:13.402965,All,9,6,3
2026-03-12 20:51:13.525271,All,9,6,3
